Referee,Total Games,Total Fouls Called,,Season,Games,Total fouls
Scott Foster,297,4789,,2016-17,53,517
John Goble,294,4376,,2016-17,51,799
Marc Davis,292,4108,,2016-17,59,953
James Capers Jr.,285,4427,,2016-17,65,860
Kane Fitzgerald,284,4375,,2016-17,58,664
Zach Zarba,284,4073,,2016-17,68,948
Tony Brothers,283,4300,,2016-17,40,558
Josh Tiven,280,4017,,2016-17,65,840
Eric Lewis,278,4262,,2016-17,44,612
Pat Fraher,276,3504,,2016-17,62,929
Ed Malloy,274,3599,,2016-17,50,681
James Williams,267,3835,,2016-17,60,947
Sean Wright,266,4282,,2016-17,44,715
Ken Mauer,260,3835,,2016-17,55,754
Brian Forte,260,3471,,2016-17,47,622
Tony Brown,258,4031,,2016-17,64,874
David Guthrie,257,3902,,2016-17,63,842
Kevin Scott,256,3487,,2016-17,58,728
Courtney Kirkland,255,3696,,2016-17,58,691
Rodney Mott,255,3581,,2016-17,67,976
Karl Lane,253,3644,,2016-17,59,872
Derrick Collins,253,3258,,2016-17,51,599
Brent Barnaky,249,3266,,2016-17,52,746
Mark Lindsay,247,3332,,2016-17,54,775
Tom Washington,246,3314,,2016-17,34,432
Tyler Ford,245,3788,,2016-17,62,1085
Ben Taylor,239,3596,,2016-17,69,1007
Marat Kogut,239,3447,,2016-17,4,51
Mark Ayotte,238,3338,,2016-17,33,443
Tre Maddox,238,3287,,2016-17,70,1102
Nick Buchert,237,3600,,2016-17,69,1035
Dedric Taylor,237,3215,,2016-17,58,932
Kevin Cutler,236,2943,,2016-17,69,1041
Gediminas Petraitis,233,2946,,2016-17,67,985
Michael Smith,231,3651,,2016-17,63,938
Curtis Blair,229,3017,,2016-17,57,774
J.T. Orr,228,3208,,2016-17,64,809
Matt Boland,228,3132,,2016-17,44,577
Scott Twardoski,227,3026,,2016-17,51,668
Mike Callahan,221,2883,,2016-17,57,798
Aaron Smith,215,2531,,2016-17,61,921
Leon Wood,210,2833,,2016-17,65,846
Mitchell Ervin,204,3132,,2016-17,55,782
Scott Wall,204,2989,,2016-17,64,823
Leroy Richardson,203,2800,,2016-17,64,843
Sean Corbin,202,3151,,2016-17,59,834
Derek Richardson,191,2466,,2016-17,61,744
Justin Van Duyne,189,2779,,2016-17,45,750
Eric Dalen,188,2358,,2016-17,64,1009
Ron Garretson,186,2345,,2016-17,53,789
Bill Kennedy,182,2366,,2016-17,65,819
Jacyn Goble,181,2477,,2016-17,4,31
Haywoode Workman,169,2351,,2016-17,65,889
C.J. Washington,162,2361,,2016-17,56,758
Brett Nansel,157,2251,,2016-17,69,1161
Jason Phillips,149,2039,,2016-17,49,651
Derrick Stafford,145,1962,,2016-17,43,677
Ray Acosta,141,1971,,2016-17,61,982
J.B. DeRosa,141,1702,,2016-17,61,975
Bennie Adams,127,2005,,2016-17,46,632
Jason Goldenberg,127,1805,,2016-17,60,805
Jonathan Sterling,127,1588,,2016-17,61,934
Gary Zielinski,121,1698,,2016-17,59,890
Lauren Holtkamp-Sterling,119,1571,,2016-17,58,839
Bill Spooner,114,1324,,2016-17,58,889
Monty McCutchen,96,1505,,2016-17,4,57
Brandon Adair,86,919,,2016-17,61,829
Dan Crawford,74,1197,,2017-18,56,663
Phenizee Ransom,72,804,,2017-18,62,918
Mousa Dagher,65,907,,2017-18,60,935
Matt Myers,65,835,,2017-18,61,765
Natalie Sago,63,758,,2017-18,44,536
Ashley Moyer-Gleich,61,688,,2017-18,6,52
Steve Anderson,46,632,,2017-18,62,794
Evan Scott,39,457,,2017-18,43,599
John Butler,39,407,,2017-18,62,847
Nate Green,36,435,,2017-18,41,574
Jenna Schroeder,27,353,,2017-18,60,853
Simone Jelks,16,177,,2017-18,58,739
Andy Nagy,13,137,,2017-18,62,957
Suyash Mehta,13,119,,2017-18,61,792
Vladimir Voyard-Tadal,12,165,,2017-18,55,725
John Conley,8,88,,2017-18,61,750
