Username,Time,Date,Region,Country
cheese,1:37:50,2022-02-28,EU,Spain
Liam,1:37:53,2021-11-07,NA,USA
simply,1:38:15,2022-03-09,NA,USA
batora,1:38:21,2021-04-09,AS,Japan
puncayshun,1:38:32,2021-03-04,NA,USA
ikori_o,1:38:32,2022-01-23,AS,Japan
hokorobi,1:38:54,2021-01-31,AS,Japan
Taggo,1:38:54,2021-06-26,EU,Sweden
Karin,1:39:00,2021-07-22,AS,Japan
Paracusia,1:39:00,2021-09-24,AU,Australia
iso01,1:39:25,2021-03-03,AS,Japan
Dezanig,1:39:39,2021-07-29,SA,Brazil
Weegee,1:39:42,2022-02-12,NA,USA
nindiddeh,1:40:03,2021-11-13,NA,USA
Gainai,1:40:12,2021-05-16,EU,Germany
RockChalk19,1:40:21,2021-04-04,NA,USA
Dwhatever,1:40:25,2020-02-01,EU,Germany
kagami,1:40:25,2021-11-20,AS,Japan
Nebula,1:40:36,2021-11-02,AU,Australia
Fafel,1:40:43,2020-11-11,AS,Japan
Dowsky,1:40:50,2022-03-11,NA,USA
GothicLogic,1:41:06,2021-09-09,EU,UK
BlueBob,1:41:24,2020-01-26,NA,Canada
Kally,1:41:24,2022-02-04,XX,XX
Tabascoth,1:41:41,2021-10-04,EU,Austria
Goldrush,1:41:43,2021-01-02,AS,Japan
Terji,1:41:54,2021-11-26,EU,Faroe Islands
nero_x2,1:42:09,2015-03-06,AS,Japan
groovy31,1:42:10,2018-08-11,EU,Finland
GUTOA,1:42:13,2017-05-03,AS,Japan
Kyman,1:42:14,2021-11-08,NA,Canada
phantaxx,1:42:24,2018-11-03,NA,USA
akki,1:42:26,2020-10-22,AS,Japan
toastrider91,1:42:28,2015-11-08,AF,Chad
Parsee02,1:42:32,2022-03-12,AS,Japan
V1RO,1:42:42,2019-05-11,NA,Canada
Heisenburger,1:42:46,2021-11-22,NA,USA
badroenis,1:42:48,2022-01-09,NA,USA
taylor3311,1:42:48,2022-02-03,AS,Japan
chubby,1:42:53,2021-08-18,EU,Norway
Souli,1:42:57,2019-09-21,AS,Japan
ChipGroove,1:43:02,2022-01-02,NA,USA
Xx_Mario_xX,1:43:09,2022-01-02,AS,Japan
turara32767,1:43:14,2021-12-07,AS,Japan
KobrahCJ,1:43:15,2021-10-14,NA,USA
Drogie,1:43:16,2021-01-13,EU,Switzerland
Akira,1:43:23,2017-02-20,AS,Japan
jane_dair,1:43:25,2020-12-18,NA,USA
tomkabs,1:43:28,2022-02-23,NA,Canada
Descente,1:43:30,2019-02-23,AS,Japan
darkdog47,1:43:30,2021-08-08,NA,USA
Xoofey,1:43:32,2020-08-18,NA,USA
saksdal,1:43:36,2021-07-15,NA,USA
ringo792,1:43:37,2021-09-20,NA,USA
Dekudude,1:43:41,2021-05-04,EU,UK
kryptic80,1:43:43,2021-09-17,NA,USA
Haliinen,1:43:47,2015-04-07,EU,Sweden
Widdit,1:43:52,2021-09-03,NA,USA
siglemic,1:43:53,2014-04-23,NA,USA
Flippy_o,1:43:55,2016-09-11,EU,Denmark
Deftek,1:44:00,2015-01-05,NA,USA
Xein64,1:44:08,2021-03-13,EU,Germany
Nickless,1:44:12,2022-01-27,NA,USA
Fuff,1:44:13,2022-01-02,NA,Canada
Melty,1:44:15,2021-02-15,AS,Japan
Afrodafro,1:44:27,2022-02-14,EU,Norway
Hayato,1:44:29,2017-05-04,AS,Japan
bebopbandit,1:44:29,2020-07-10,NA,USA
Schnoz64,1:44:43,2021-09-18,NA,USA
gohanie,1:44:45,2016-04-14,AS,Japan
Mitagi,1:44:45,2017-05-20,AS,Japan
JJsrl,1:44:48,2022-02-21,NA,USA
Leysauce,1:44:49,2021-10-29,NA,USA
Honey,1:44:51,2013-02-17,AS,Japan
luke994,1:44:56,2014-12-23,EU,UK
Gerbiez,1:44:56,2022-03-04,NA,Canada
Wilko,1:45:00,2021-03-03,EU,Germany
Butterlord,1:45:09,2021-02-03,NA,Canada
Animazism,1:45:17,2017-02-25,EU,UK
Alkobakknarko,1:45:18,2017-04-27,EU,Norway
Noizeeh,1:45:27,2015-01-28,EU,Sweden
protoman5,1:45:28,2019-09-01,NA,USA
crazywhw,1:45:28,2022-02-26,NA,USA
dinkyslinky,1:45:29,2021-12-08,EU,Norway
m_vitor,1:45:31,2020-01-10,SA,Brazil
SuperViperT302,1:45:37,2020-09-21,NA,USA
bromario28,1:45:38,2021-09-26,NA,USA
Biinny,1:45:39,2019-05-05,EU,UK
Hampern,1:45:52,2014-04-18,XX,XX
Copy,1:45:56,2021-10-29,NA,USA
nidamario,1:45:57,2021-10-17,AS,Japan
Beuca,1:45:58,2019-06-24,NA,USA
Codo,1:45:59,2017-08-21,AS,Japan
Creator_Destroyer,1:46:07,2021-04-10,NA,USA
Gana64,1:46:08,2017-06-02,AS,Japan
arwyMilo,1:46:08,2018-03-11,NA,Canada
Falcon,1:46:08,2021-11-22,NA,Canada
PKT_Distinct,1:46:15,2022-03-14,EU,France
ZDeztroyerz,1:46:19,2017-08-27,XX,XX
Yale,1:46:19,2021-11-17,NA,USA
