Time,Ethnicity,Number of stop and searches,Population,"Rate per 1,000 population"
2006/07,All,,,
2007/08,All,,,
2008/09,All,,,
2009/10,All,1348552,53393384,25.26
2010/11,All,1241779,53393384,23.26
2011/12,All,1130568,53393384,21.17
2012/13,All,976320,53393384,18.29
2013/14,All,869488,53393384,16.28
2014/15,All,521731,53393384,9.77
2015/16,All,373399,53393384,6.99
2016/17,All,296495,53393384,5.55
2017/18,All,275005,53393384,5.15
2018/19,All,372496,53393384,6.98
2019/20,All,563837,53393384,10.56
2006/07,Any other Asian background,,,
2007/08,Any other Asian background,,,
2008/09,Any other Asian background,,,
2009/10,Any other Asian background,39589,807285,49.04
2010/11,Any other Asian background,39633,807285,49.09
2011/12,Any other Asian background,36053,807285,44.66
2012/13,Any other Asian background,27067,807285,33.53
2013/14,Any other Asian background,22742,807285,28.17
2014/15,Any other Asian background,13302,807285,16.48
2015/16,Any other Asian background,11388,807285,14.11
2016/17,Any other Asian background,10427,807285,12.92
2017/18,Any other Asian background,10600,807285,13.13
2018/19,Any other Asian background,15230,807285,18.87
2019/20,Any other Asian background,24431,807285,30.26
2006/07,Any other black background,,,
2007/08,Any other black background,,,
2008/09,Any other black background,,,
2009/10,Any other black background,55238,268798,205.50
2010/11,Any other black background,56695,268798,210.92
2011/12,Any other black background,51744,268798,192.50
2012/13,Any other black background,37543,268798,139.67
2013/14,Any other black background,32529,268798,121.02
2014/15,Any other black background,20723,268798,77.10
2015/16,Any other black background,19774,268798,73.56
2016/17,Any other black background,19807,268798,73.69
2017/18,Any other black background,20309,268798,75.55
2018/19,Any other black background,27909,268798,103.83
2019/20,Any other black background,42202,268798,157.00
2006/07,Any other ethnic group,,,
2007/08,Any other ethnic group,,,
2008/09,Any other ethnic group,,,
2009/10,Any other ethnic group,14805,536271,27.61
2010/11,Any other ethnic group,14797,536271,27.59
2011/12,Any other ethnic group,13122,536271,24.47
2012/13,Any other ethnic group,10095,536271,18.82
2013/14,Any other ethnic group,9177,536271,17.11
2014/15,Any other ethnic group,5868,536271,10.94
2015/16,Any other ethnic group,4836,536271,9.02
2016/17,Any other ethnic group,3890,536271,7.25
2017/18,Any other ethnic group,4153,536271,7.74
2018/19,Any other ethnic group,5865,536271,10.94
2019/20,Any other ethnic group,9422,320697,29.38
2006/07,Any other mixed/multiple ethnic background,,,
2007/08,Any other mixed/multiple ethnic background,,,
2008/09,Any other mixed/multiple ethnic background,,,
